Name,Project Name,Role,Program Type,Skills: Narrative Development & Screenwriting,Skills: Performance & Direction of Talent,Skills: Directing & Creative Leadership,Skills: Cinematography & Visual Storytelling,Skills: Post-Production & Editing,"Skills: Marketing, Distribution & Audience Engagement",Skills: Professional Development & Networking,Skills: Cultural Stewardship & Community Engagement,Skills: Other,Skills Growth Rating (1-5),Skills Comment,Knowledge: Narrative Development & Screenwriting,Knowledge: Performance & Direction of Talent,Knowledge: Directing & Creative Leadership,Knowledge: Cinematography & Visual Storytelling,Knowledge: Post-Production & Editing,"Knowledge: Marketing, Distribution & Audience Engagement",Knowledge: Professional Development & Networking,Knowledge: Cultural Stewardship & Community Engagement,Knowledge: Other,Knowledge Growth Rating (1-5),Knowledge Comment,Generational Wisdom Rating (1-5),Vision Rating (1-5),Community Rating (1-5),Traditions Rating (1-5),Transformation Rating (1-5),Total VMM Projects Participated,Additional Comments
Halona Arrowsmith,Ceremony at Dawn,Participant,Native Youth Media Project,1,1,0,0,0,1,1,1,0,4,,1,0,1,0,1,1,0,1,0,4,,1,5,5,4,4,2,The program connected me with a co-director for my next project. That relationship is invaluable.
Tala Halfmoon,Rez Life Chronicles,Documentary Filmmaker,Native Youth Media Project,1,1,0,1,1,0,0,1,0,2,,1,0,1,1,0,0,1,1,0,2,,2,1,4,3,4,4,
Naomi Snowcloud,Homeland Security,Actor,Native Youth Media Project,0,0,1,0,1,0,0,1,0,5,This program helped me see screenwriting as an act of cultural preservation.,1,1,0,0,1,0,1,1,0,5,,5,2,5,4,5,2,
,First Light,Producer,Creative Shorts Fellowship,0,0,1,1,0,1,1,1,0,4,The program's emphasis on community consent in documentary work is something I carry forward.,1,0,0,1,0,1,1,1,0,4,,3,4,5,4,4,1,
Beau Eagleheart,Rez Life Chronicles,Sound Designer,Native Youth Media Project,0,0,0,1,1,0,0,0,0,3,I had never used a camera before this program—now I can shoot and edit a short film independently.,1,1,0,0,1,1,0,0,0,3,,3,2,5,5,4,1,
Ahanu Firecloud,Elders Circle,Participant,Creative Shorts Fellowship,1,1,1,0,1,0,0,1,0,5,I gained real confidence in the editing suite. The instructors were patient and encouraging.,0,1,0,1,0,0,1,1,1,5,,3,2,3,4,5,1,The cohort model was brilliant—learning alongside other Native creatives was deeply motivating.
Carlos Crazyhorse,Clan Mothers Speak,Producer,Creative Shorts Fellowship,0,0,1,0,1,0,0,0,0,5,Marketing for Indigenous audiences requires a completely different approach. This program taught me that.,1,1,0,1,0,0,1,0,0,4,,2,1,5,5,4,1,
Quinn Snowcloud,The Beadwork of Being,Producer,Creative Shorts Fellowship,0,1,1,0,0,0,1,0,0,3,,0,0,1,0,1,1,1,1,0,3,The program expanded my knowledge of grant writing specifically for Indigenous media projects.,4,3,4,3,3,3,
,Healing the Wound,Student,Native Youth Media Project,0,1,1,0,0,0,1,0,0,5,,0,0,0,0,1,1,1,1,0,5,,2,2,4,3,4,1,
Grace Strongbow,Canyon de Chelly Morning,Producer,Creative Shorts Fellowship,1,0,0,1,1,1,1,0,0,4,,0,0,1,0,1,1,1,1,0,4,,2,2,5,4,4,1,
